-5.24712;9.03093
-4.53593;8.51431
-3.97369;7.97153
-3.47546;7.47524
-3.02783;7.0278
-2.62503;6.62503
-2.26253;6.26253
-1.93628;5.93628
-1.64265;5.64265
-1.37838;5.37838
-1.14055;5.14055
-0.926491;4.92649
-0.733842;4.73384
-0.560458;4.56046
-0.404412;4.40441
-0.263971;4.26397
-0.137574;4.13757
-0.0238164;4.02382
0.0785653;3.92143
0.170709;3.82929
0.253638;3.74636
0.328274;3.67173
0.395447;3.60455
0.455902;3.5441
0.510312;3.48969
0.559281;3.44072
0.603353;3.39665
0.643017;3.35698
0.678716;3.32128
0.710844;3.28916
0.73976;3.26024
0.765784;3.23422
0.789205;3.21079
0.810285;3.18972
0.829256;3.17074
0.846331;3.15367
0.861698;3.1383
0.875528;3.12447
0.887975;3.11202
0.899178;3.10082
0.90926;3.09074
0.918334;3.08167
0.9265;3.0735
0.93385;3.06615
0.940465;3.05953
0.946419;3.05358
0.951777;3.04822
0.956599;3.0434
0.960939;3.03906
0.964845;3.03515
0.968361;3.03164
0.971525;3.02848
0.974372;3.02563
0.976935;3.02306
0.979242;3.02076
0.981317;3.01868
0.983186;3.01681
0.984867;3.01513
0.98638;3.01362
0.987742;3.01226
0.988968;3.01103
0.990071;3.00993
0.991064;3.00894
0.991958;3.00804
0.992762;3.00724
0.993486;3.00651
0.994137;3.00586
0.994723;3.00528
0.995251;3.00475
0.995726;3.00427
0.996153;3.00385
0.996538;3.00346
0.996884;3.00312
0.997196;3.0028
0.997476;3.00252
0.997729;3.00227
0.997956;3.00204
0.99816;3.00184
0.998344;3.00166
0.99851;3.00149
0.998659;3.00134
0.998793;3.00121
0.998914;3.00109
0.999022;3.00098
0.99912;3.00088
0.999208;3.00079
0.999287;3.00071
0.999358;3.00064
0.999423;3.00058
0.99948;3.00052
0.999532;3.00047
0.999579;3.00042
0.999621;3.00038
0.999659;3.00034
0.999693;3.00031
0.999724;3.00028
0.999751;3.00025
0.999776;3.00022
0.999799;3.0002
0.999819;3.00018
0.999837;3.00016
0.999853;3.00015
0.999868;3.00013
0.999881;3.00012
0.999893;3.00011
0.999904;3.0001
0.999913;3.00009
0.999922;3.00008
0.99993;3.00007
0.999937;3.00006
0.999943;3.00006
0.999949;3.00005
0.999954;3.00005
0.999959;3.00004
0.999963;3.00004
0.999966;3.00003
0.99997;3.00003
0.999973;3.00003
0.999976;3.00002
0.999978;3.00002
0.99998;3.00002
0.999982;3.00002
0.999984;3.00002
0.999986;3.00001
0.999987;3.00001
0.999988;3.00001
0.999989;3.00001
0.999991;3.00001
0.999991;3.00001
0.999992;3.00001
0.999993;3.00001
0.999994;3.00001
0.999994;3.00001
0.999995;3.00001
0.999995;3
0.999996;3
0.999996;3
0.999997;3
0.999997;3
0.999997;3
0.999998;3
0.999998;3
0.999998;3
0.999998;3
0.999998;3
0.999999;3
0.999999;3
0.999999;3
0.999999;3
0.999999;3
0.999999;3
0.999999;3
0.999999;3
